date,general,pandas,numpy,psycopg2,turtle,pygame,matplotlib,datetime,telenium,selenium,tensorflow,scikit learn,django,flask,tkinter,kivy,beautifulsoup,youtube
2020-04-01,1.0,,,,4.0,,,,,,,,,,,,,
2020-04-02,4.0,2.0,,,,,,,,,,,,,,,,
2020-04-03,7.0,1.0,,1.0,,,,1.0,,,,,,,,,,
2020-04-04,2.0,1.0,,,2.0,,1.0,,,,,,,,,,,
2020-04-05,3.0,2.0,,,,,,,,,,,,,,,,
2020-04-06,1.0,,,,1.0,,,,,,,,,,,,,
2020-04-07,2.0,,,,,,,,,,,,,,,,,
2020-04-08,1.0,,,,0.5,,,,,,0.5,,,,,,,3.0
2020-04-09,1.0,,,,,,,,,,,,,,,1.0,,
2020-04-11,,,,,,,,,,,,,,,,3.0,,2.0
2020-04-12,1.5,,,,,,,,,,0.1,,,,,,,3.9
