date,wakeup time,sleep,meditation,exercise,daily routines,travel to work,work,learning,reading books,movies,series,games,social media,music,general youtube,outing,others,time to bed
2020-04-01,9:00A.M.,8.0,,,1.0,,9.0,5.0,,,,,,,,,1.0,12:00A.M.
2020-04-02,9:00A.M.,8.0,,,1.0,,9.0,6.0,,,,,,,,,,12:15A.M.
2020-04-03,7:05A.M.,6.83,,,2.0,,10.0,5.0,,,,,,,,,0.17,12:15A.M.
2020-04-04,10:00A.M.,9.75,,,2.0,,,6.0,,,,,3.0,,,,3.25,12:30A.M.
2020-04-05,10:30A.M.,10.0,,,2.0,,,5.0,,,,1.0,3.0,,,,3.0,11:30P.M.
2020-04-06,9:00A.M.,9.5,,,1.5,,9.0,2.0,,,,,0.5,,,,1.5,11:30P.M.
2020-04-07,9:00A.M.,9.5,,,1.7,,9.0,2.0,,,,,1.0,,,,0.8,12:30A.M.
2020-04-08,8:00A.M.,7.5,,,2.0,,9.0,5.0,,,,,0.5,,,,,11:00P.M.
2020-04-09,9:40A.M.,10.67,,,0.75,,9.0,2.0,,,,,,0.25,0.3,,1.03,12:00A.M.
2020-04-10,9:00A.M.,9.0,,,1.0,,9.0,0.5,,,,1.0,2.0,,,,1.5,12:00A.M.
2020-04-11,10:45A.M.,10.75,,,2.0,,,5.5,,2.25,,0.5,0.5,,,,2.5,12:15A.M.
2020-04-12,6:00A.M.,5.75,,,2.0,,,5.5,,,,,0.25,,0.3,,10.2,12:30A.M.
2020-04-13,8:45A.M.,8.25,,,2.0,,9.0,1.0,,,,0.4,,0.15,,,3.2,12:30A.M.
2020-04-14,10:00A.M.,9.5,,,2.0,,,4.0,,2.7,,0.5,0.2,,,,5.1,12:15A.M.
2020-04-15,8:45A.M.,8.5,,,1.5,,9.0,3.5,,,,0.75,0.25,0.25,,,0.25,12:30A.M.
2020-04-16,9:00A.M.,8.5,,,1.5,,9.0,2.0,,,,1.0,0.25,0.1,,,1.65,12:15A.M.
2020-04-17,9:00A.M.,8.75,,,1.0,,9.0,4.0,,,,,0.25,,,,1.0,12:15A.M.
2020-04-18,10:00A.M.,9.75,,,1.0,,,3.0,,2.75,,1.0,1.0,0.2,,,5.3,11:45P.M.
2020-04-19,7:40A.M.,7.92,,,1.0,,,9.0,,,,2.0,,0.25,0.2,,3.63,12:45A.M.
2020-04-20,9:00A.M.,8.25,,,1.0,,9.0,4.5,,,,,0.1,,,,1.15,12:15A.M.
2020-04-21,9:00A.M.,8.75,,,1.0,,9.0,5.0,,,,,,,,,0.25,12:30A.M.
2020-04-22,7:00A.M.,6.5,,0.1,1.0,,9.0,,,,,,3.0,1.0,,,3.4,1:00A.M.
2020-04-23,9:00A.M.,8.0,,,1.0,,9.0,,,,,,3.0,0.5,,,2.5,12:30A.M.
2020-04-24,9:00A.M.,8.5,,,1.0,,9.0,,,1.0,,0.2,,0.5,,,3.8,12:00A.M.
2020-04-25,9:00A.M.,9.0,,,1.0,,,2.5,,3.0,,1.0,0.75,0.5,0.75,,5.5,12:15A.M.
2020-04-26,11:00A.M.,10.75,,,1.0,,,0.2,,3.0,,1.0,2.0,0.5,,,5.55,12:30A.M.
2020-04-27,9:00A.M.,8.5,,,1.0,,9.0,1.5,,,,,3.0,,,,1.0,1:00A.M.
2020-04-28,9:00A.M.,8.0,,,1.0,,9.0,0.5,,,,,3.0,0.5,,,2.0,12:30A.M.
2020-04-29,9:00A.M.,8.5,,,1.0,,13.0,,,,,,,,,,1.5,12:15A.M.
2020-04-30,8:30A.M.,8.25,,,1.0,,9.0,,,,,,2.5,0.25,,,3.0,12:30A.M.
2020-05-01,9:15A.M.,8.75,,,1.0,,9.0,,,,,,4.0,0.2,,,1.05,12:30A.M.
2020-05-02,10:45A.M.,10.25,,,1.0,,4.0,1.0,,,,0.25,0.2,,0.2,,7.1,12:45A.M.
2020-05-03,7:00A.M.,6.25,,,1.0,,,1.0,,5.0,,,0.5,1.5,0.5,,8.25,12:15A.M.
2020-05-04,8:45A.M.,8.5,,,1.0,,10.0,,,,,,3.0,,,,1.5,12:40A.M.
2020-05-05,8:45A.M.,8.08,,,1.0,,9.0,,,,,,2.0,0.5,1.0,,2.42,12:30A.M.
2020-05-06,8:45A.M.,8.25,,,1.0,,9.0,,,3.0,,,1.0,0.5,,,1.25,12:45A.M.
2020-05-07,9:15A.M.,8.5,,,1.0,,9.0,,,,,,2.0,,1.0,,2.5,12:30A.M.
2020-05-08,9:00A.M.,8.5,,,1.0,,9.0,,,,,,3.0,,,,2.5,12:30A.M.
2020-05-09,10:30A.M.,10.0,,,1.0,,,0.2,,3.0,1.0,,3.0,0.2,0.5,,5.1,12:15A.M.
2020-05-10,8:45A.M.,8.5,,,1.0,,,1.0,,,,,2.0,0.5,,,11.0,11:30P.M.
2020-05-11,8:30A.M.,9.0,,,1.0,,9.0,0.0,,,,0.5,0.5,0.2,,,3.8,10:45P.M.
2020-05-12,9:00A.M.,10.25,,,1.0,,9.0,,,,,,1.0,1.0,,,1.75,12:00A.M.
2020-05-13,9:00A.M.,9.0,,,1.0,,9.0,0.0,,,,1.0,1.0,0.5,,,2.5,11:15P.M.
2020-05-14,9:00A.M.,9.75,,,1.0,,9.0,,,,,1.0,1.0,0.25,,,2.0,12:00A.M.
2020-05-15,9:00A.M.,9.0,,,1.0,,9.0,,,,3.0,,1.0,,,,1.0,11:30P.M.
2020-05-16,10:45A.M.,11.25,,,1.0,,,0.5,,,7.0,,0.5,,,,3.75,11:45P.M.
2020-05-17,10:00A.M.,10.25,,,1.0,,,1.0,,,5.5,,0.5,,,,5.75,11:45P.M.
2020-05-18,9:00A.M.,9.25,,,1.0,,9.0,,,,4.75,,,,,,,12:00A.M.
2020-05-19,9:00A.M.,9.0,,,1.0,,9.0,,,,3.0,,0.5,,,,1.5,12:15A.M.
2020-05-20,9:00A.M.,8.75,,,1.0,,10.0,,,,2.5,,,,,,0.75,11:30P.M.
2020-05-21,9:10A.M.,9.67,,,1.0,,10.0,,,,2.0,,,0.5,0.25,,0.58,12:00A.M.
2020-05-22,9:00A.M.,9.0,,,1.0,,9.0,,,,5.0,,,,,,,11:30P.M.
2020-05-23,10:30A.M.,11.0,,,1.0,,,,,,7.0,,0.5,,,,4.5,11:30P.M.
2020-05-24,10:00A.M.,10.5,,,1.0,,,,,6.0,,,0.25,,,,6.25,11:30P.M.
2020-05-25,9:15A.M.,9.75,,,1.0,,9.0,,,,4.0,,,,,,0.25,11:00P.M.
2020-05-26,9:10A.M.,10.17,,,1.0,,9.0,,,,,,3.0,,,,0.83,12:00A.M.
2020-05-27,9:00A.M.,9.0,,,1.0,,9.0,,,,,,2.0,,,,3.0,1:00A.M.
2020-05-28,9:00A.M.,8.0,,,1.0,,9.0,,,2.75,0.25,,,,,,3.0,10:00P.M.
2020-05-29,9:00A.M.,11.0,,,3.0,,9.0,,,,3.0,,,,,,,12:00A.M.
2020-05-30,9:30A.M.,9.5,,,1.0,,,,,,5.0,,4.0,,,,4.5,12:00A.M.
2020-05-31,7:00A.M.,7.0,,,1.0,,,,,,5.0,,3.0,,,,8.0,11:00P.M.
2020-06-01,9:00A.M.,10.0,,,1.0,,9.0,,,,,,,0.25,1.0,,2.75,12:00A.M.
2020-06-02,9:00A.M.,9.0,,,1.0,,9.0,,,,1.5,,1.0,,,,2.5,12:00A.M.
2020-06-03,9:00A.M.,9.0,,,1.0,,9.0,,,,1.5,,1.5,,,,2.0,11:45P.M.
2020-06-04,9:00A.M.,9.25,,,1.0,,9.0,,,,1.5,,1.5,0.5,,,1.25,12:00A.M.
2020-06-05,9:00A.M.,9.0,,,1.0,,9.0,,,,1.5,,1.0,,1.0,,1.5,11:30P.M.
2020-06-06,9:45A.M.,10.25,,,1.0,,,,,,3.0,,5.0,,,,4.75,12:15A.M.
2020-06-07,10:30A.M.,10.25,,,1.0,,,3.0,,,3.0,,4.0,,,,2.75,11:40P.M.
2020-06-08,9:00A.M.,9.33,,,1.0,,9.0,,,,,,0.5,1.0,1.0,,2.17,12:00A.M.
2020-06-09,9:20A.M.,9.33,,,1.0,,9.0,,,,,1.0,1.0,,,,2.67,11:45P.M.
2020-06-10,9:15A.M.,9.5,,,1.0,,9.0,,,,1.5,0.25,,,,,2.75,11:45P.M.
2020-06-11,9:10A.M.,9.42,,,1.0,,9.0,,,,0.6,,0.2,,,,3.78,12:00A.M.
2020-06-12,9:00A.M.,9.0,,,1.0,,9.0,,,,0.9,0.75,,,0.75,,2.6,12:15A.M.
2020-06-13,10:30A.M.,10.25,,,1.0,,,4.0,,,3.0,,,,2.0,,3.75,11:30P.M.
2020-06-14,8:00A.M.,8.5,,,1.0,,,,,,7.0,,1.0,,,,6.5,12:15A.M.
2020-06-15,9:00A.M.,8.75,,,1.0,,9.0,,,,2.5,,1.0,,,,1.75,12:30A.M.
2020-06-16,9:00A.M.,8.5,,,1.0,,10.0,,,,2.5,,,,,,2.0,12:15A.M.
2020-06-17,9:00A.M.,8.75,,,1.0,,10.0,,,,2.5,,0.5,,,,1.25,12:15A.M.
2020-06-18,9:00A.M.,8.75,,,1.0,,9.0,,,,3.0,,0.5,,,,1.75,12:30A.M.
2020-06-19,9:00A.M.,8.5,,,1.0,,9.0,,,,3.0,,0.5,,0.4,,1.6,12:30A.M.
2020-06-20,10:30A.M.,10.0,,,1.0,,,,,,10.0,,,,,,3.0,12:15A.M.
2020-06-21,8:30A.M.,8.25,,,1.0,,,,,,8.0,,1.0,,,,5.75,12:30A.M.
2020-06-22,9:00A.M.,8.5,,,1.0,,10.0,,,,1.0,,1.0,,,,2.5,12:30A.M.
2020-06-23,9:00A.M.,8.5,,,1.0,,10.0,,,,,,1.0,,,,3.5,12:30A.M.
2020-06-24,9:00A.M.,8.5,,,1.0,,9.0,,,,3.0,,,1.0,,,1.5,12:30A.M.
2020-06-25,9:00A.M.,8.5,,,1.0,,9.0,,,,3.5,,1.0,0.25,,,0.75,12:30A.M.
2020-06-26,9:00A.M.,8.5,,,1.0,,9.0,,,,4.0,,,,,,1.5,12:00A.M.
2020-06-27,11:00A.M.,11.0,,,1.0,,,,,,6.0,,1.0,1.0,,,4.0,12:30A.M.
2020-06-28,10:45A.M.,10.25,,,1.0,,,,,,5.0,,,,2.0,,5.75,12:00A.M.
2020-06-29,9:20A.M.,9.33,,,1.0,,9.0,,,,,1.0,1.0,,1.0,,1.67,12:00A.M.
2020-06-30,9:00A.M.,9.0,,,1.0,,10.0,,,,1.0,,2.0,,,,1.0,12:00A.M.
2020-07-01,9:00A.M.,9.0,,,1.0,,10.0,,,,,,1.0,0.4,1.0,,1.6,12:30A.M.
2020-07-02,9:15A.M.,8.75,,0.2,1.0,,9.0,,,,2.0,,1.0,1.0,,,1.05,12:30A.M.
2020-07-03,11:00A.M.,10.5,,,1.0,,,,,2.75,3.0,,1.0,,,,5.75,12:30A.M.
2020-07-04,11:00A.M.,10.5,,,1.0,,,,,,4.0,,4.0,,,,4.5,12:45A.M.
2020-07-05,11:00A.M.,10.25,,,1.0,,,,,,1.0,,6.0,,,,5.75,12:00A.M.
2020-07-06,9:00A.M.,9.0,,,1.0,,9.0,,,,1.5,,3.5,,,,,12:30A.M.
2020-07-07,9:00A.M.,8.5,,,1.0,,9.0,,,,1.0,,4.0,,,,0.5,12:45A.M.
2020-07-08,9:00A.M.,8.25,,,1.0,,10.0,,,,2.0,,2.0,,,,0.75,12:30A.M.
2020-07-09,9:20A.M.,8.83,,,1.0,,9.0,,,,,,4.0,,,,1.17,12:30A.M.
2020-07-10,9:00A.M.,8.5,,,1.0,,9.0,,,,,,4.0,,,,1.5,12:45A.M.
2020-07-11,9:00A.M.,8.25,,,1.0,,,,,,1.0,,7.0,,,,6.75,12:30A.M.
2020-07-12,9:00A.M.,8.5,,,1.0,,,,,,2.0,,7.0,,,,5.5,12:00A.M.
2020-07-13,9:00A.M.,9.0,,,1.0,,9.0,,,,,,2.0,,,,3.0,12:30A.M.
2020-07-14,9:00A.M.,8.5,,,1.0,,9.0,,,,2.0,,2.0,,,,1.5,12:30A.M.
2020-07-15,9:00A.M.,8.5,,,1.0,,4.0,,,,2.0,,1.0,,,,7.5,12:00A.M.
2020-07-16,9:00A.M.,9.0,,,1.0,,12.0,,,,1.0,,,,,,1.0,12:30A.M.
2020-07-17,9:00A.M.,8.5,,,1.0,,9.0,,,,3.0,,1.0,,,,1.5,11:30P.M.
2020-07-18,9:30A.M.,10.0,,,1.0,,,6.0,,,3.0,,1.0,,1.0,,2.0,12:00A.M.
2020-07-19,8:00A.M.,8.0,,,1.0,,,2.0,,,5.0,,2.0,1.0,1.0,,4.0,12:30A.M.
2020-07-20,9:00A.M.,8.5,,,1.0,,10.0,,,,1.0,,2.0,,,,1.5,12:00A.M.
2020-07-21,9:15A.M.,9.25,,,1.0,,9.0,,,,0.8,,,,0.5,,3.45,12:00A.M.
2020-07-22,8:45A.M.,8.75,,,1.0,,8.0,,,2.0,,,1.0,,,,3.25,12:00A.M.
2020-07-23,9:00A.M.,9.0,,,1.0,,10.0,,,,,,1.0,,,,3.0,12:00A.M.
2020-07-24,9:00A.M.,9.0,,,1.0,,9.0,,,,4.0,,,,,,1.0,12:00A.M.
2020-07-25,9:45A.M.,9.75,,,1.0,,,,,2.0,5.0,,2.0,1.0,,,3.25,12:30A.M.
2020-07-26,10:00A.M.,9.5,,,1.0,,,,,,8.0,,3.0,,,,2.5,12:30A.M.
2020-07-27,9:00A.M.,8.5,,,1.0,,9.0,,,,4.0,,0.5,,,,1.0,12:30A.M.
2020-07-28,9:00A.M.,8.5,,,1.0,,6.0,,,,6.0,,,,,,2.5,12:30A.M.
2020-07-29,9:00A.M.,8.5,,,1.0,,9.0,,,,3.0,,,,,,2.5,12:50A.M.
2020-07-30,9:10A.M.,8.33,,,1.0,,9.0,,,,4.0,,,,,,1.67,12:15A.M.
2020-07-31,9:00A.M.,8.75,,,1.0,,9.0,,,,0.25,,3.0,,,,2.0,12:30A.M.
2020-08-01,9:00A.M.,8.5,,,1.0,,,2.0,,,,,2.0,,,7.0,3.5,12:30A.M.
2020-08-02,9:00A.M.,8.5,,,1.0,,,,,,3.0,,,,3.0,,8.5,12:30A.M.
2020-08-03,9:00A.M.,8.5,,,1.0,,10.0,,,,,,1.0,,,,3.5,12:30A.M.
2020-08-04,9:00A.M.,8.5,,,1.0,,10.0,,,,,,2.0,1.0,,,1.5,12:30A.M.
2020-08-05,9:00A.M.,8.5,,,1.0,,11.0,,,,,,,1.0,,,2.5,12:45A.M.
2020-08-06,9:00A.M.,8.25,,,1.0,,10.0,,1.0,,,,2.0,1.0,,,0.75,12:30A.M.
2020-08-07,9:00A.M.,8.5,,,1.0,,10.0,,,,,,1.0,1.0,,,2.5,12:45A.M.
2020-08-08,9:45A.M.,9.0,,,1.0,,,,,,,,3.0,,4.0,,7.0,12:30A.M.
2020-08-09,9:00A.M.,8.5,,,1.0,,1.0,,,,,,2.0,,5.0,,6.5,12:15A.M.
2020-08-10,9:00A.M.,8.75,,,1.0,,10.0,,,,,,1.0,,1.0,,2.25,12:45A.M.
2020-08-11,9:00A.M.,8.25,,,1.0,,10.0,,,,,,,,1.0,,3.75,12:45A.M.
2020-08-12,9:00A.M.,8.25,,,1.0,,10.0,,,,,,3.0,,1.0,,0.75,12:30A.M.
2020-08-13,9:00A.M.,8.5,,,1.0,,10.0,,,,,,2.0,,1.0,,1.5,12:30A.M.
2020-08-14,9:00A.M.,8.5,,,1.0,,10.0,,0.5,,,,,1.0,1.0,,2.0,12:30A.M.
2020-08-15,9:30A.M.,9.0,,,1.0,,,4.0,1.0,,1.0,,1.0,1.0,3.0,,3.0,12:30A.M.
2020-08-16,9:30A.M.,9.0,,,1.0,,1.0,2.0,1.0,,,,3.0,1.0,1.0,,5.0,12:50A.M.
2020-08-17,9:00A.M.,8.17,,,1.0,,9.0,,0.5,,,,1.0,1.0,1.0,,2.33,1:00A.M.
2020-08-18,9:00A.M.,8.0,,,1.0,,10.0,,,,,,1.0,,1.0,,3.0,10:45P.M.
